Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
1923580;9;14/11/2012 09:10;Strada Urbana;VIA DELL'ARCO DI TRAVERTINO;all'intersezione con;VIA GROTTAFERRATA;VIA GROTTAFERRATA;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;2;;;-1;1;Autovettura di polizia;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
1923580;9;14/11/2012 09:10;Strada Urbana;VIA DELL'ARCO DI TRAVERTINO;all'intersezione con;VIA GROTTAFERRATA;VIA GROTTAFERRATA;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;2;;;-1;1;Autovettura di polizia;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesploso
1923580;9;14/11/2012 09:10;Strada Urbana;VIA DELL'ARCO DI TRAVERTINO;all'intersezione con;VIA GROTTAFERRATA;VIA GROTTAFERRATA;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;2;;;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente
1925675;8;01/11/2012 19:30;Strada Urbana;VIA DI COLLE MATTIA;in prossimità;;del civico n. ;153A;;Veicolo in marcia contro ostacolo accidentale;Pendenza;Una carreggiata a doppio senso;Bagnato (pioggia);Con buche;Assente;Pioggia in atto;Scarso;Sufficiente;Insufficiente;0;0;0;1;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
1925688;12;01/11/2012 04:25;Regionale;VIA PONTINA;da specificare;;;;Km 16,600 (direzione Pomezia);Fuoriuscita dalla sede stradale;Curva a visuale libera;Due carreggiate;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Inesistente;3;1;1;0;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente
1925688;12;01/11/2012 04:25;Regionale;VIA PONTINA;da specificare;;;;Km 16,600 (direzione Pomezia);Fuoriuscita dalla sede stradale;Curva a visuale libera;Due carreggiate;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Inesistente;3;1;1;0;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Deceduto durante prime cure;-1;;Non accertato;Inesistente
1925688;12;01/11/2012 04:25;Regionale;VIA PONTINA;da specificare;;;;Km 16,600 (direzione Pomezia);Fuoriuscita dalla sede stradale;Curva a visuale libera;Due carreggiate;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Inesistente;3;1;1;0;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Prognosi riservata;0;NON DECEDUTO;Non accertato;Inesistente
1925688;12;01/11/2012 04:25;Regionale;VIA PONTINA;da specificare;;;;Km 16,600 (direzione Pomezia);Fuoriuscita dalla sede stradale;Curva a visuale libera;Due carreggiate;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Inesistente;3;1;1;0;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Ricoverato;0;NON DECEDUTO;Non accertato;Inesistente
1925692;20;01/11/2012 02:30;Strada Urbana;VIA FLAMINIA NUOVA;da specificare;;;;"in prossimità del ""Camping Flaminio""";Tamponamento;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Scarso;Buona;Sufficiente;2;0;0;3;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1925692;20;01/11/2012 02:30;Strada Urbana;VIA FLAMINIA NUOVA;da specificare;;;;"in prossimità del ""Camping Flaminio""";Tamponamento;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Scarso;Buona;Sufficiente;2;0;0;3;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesistente
1925692;20;01/11/2012 02:30;Strada Urbana;VIA FLAMINIA NUOVA;da specificare;;;;"in prossimità del ""Camping Flaminio""";Tamponamento;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Scarso;Buona;Sufficiente;2;0;0;3;;;-1;2;Quadriciclo leggero;In marcia / fermata / arresto;Conducente;F;Rifiuta cure immediate;0;NON DECEDUTO;Non accertato;Inesistente
1925692;20;01/11/2012 02:30;Strada Urbana;VIA FLAMINIA NUOVA;da specificare;;;;"in prossimità del ""Camping Flaminio""";Tamponamento;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Scarso;Buona;Sufficiente;2;0;0;3;;;-1;2;Quadriciclo leggero;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesistente
1925692;20;01/11/2012 02:30;Strada Urbana;VIA FLAMINIA NUOVA;da specificare;;;;"in prossimità del ""Camping Flaminio""";Tamponamento;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Scarso;Buona;Sufficiente;2;0;0;3;;;-1;2;Quadriciclo leggero;In marcia / fermata / arresto;Passeggero;F;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente
1925694;2;01/11/2012 13:20;Strada Urbana;CIRCONVALLAZIONE SALARIA;all'intersezione con;VIA DELLE VALLI;VIA DELLE VALLI;;;Veicolo in marcia contro ostacolo accidentale;Incrocio;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;1;;;-1;1;Autovettura di polizia;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1925700;19;01/11/2012 04:45;Strada Urbana;VIA VALLE SCRIVIA;in prossimità;;del civico n. ;29;;Tamponamento;Rettilineo;Una carreggiata a senso unico di marcia;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Scarso;Buona;Sufficiente;1;0;0;2;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1925700;19;01/11/2012 04:45;Strada Urbana;VIA VALLE SCRIVIA;in prossimità;;del civico n. ;29;;Tamponamento;Rettilineo;Una carreggiata a senso unico di marcia;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Scarso;Buona;Sufficiente;1;0;0;2;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesistente
1925700;19;01/11/2012 04:45;Strada Urbana;VIA VALLE SCRIVIA;in prossimità;;del civico n. ;29;;Tamponamento;Rettilineo;Una carreggiata a senso unico di marcia;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Scarso;Buona;Sufficiente;1;0;0;2;;;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente
1925701;6;01/11/2012 15:20;Strada Urbana;VIA DELLA MARRANELLA;all'intersezione con;VIA BARTOLOMEO PERESTRELLO;VIA BARTOLOMEO PERESTRELLO;;;Veicolo in marcia contro veicolo in sosta;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Ore Diurne;0;0;0;2;;;-1;1;Autocarro inferiore 35 q.;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1925701;6;01/11/2012 15:20;Strada Urbana;VIA DELLA MARRANELLA;all'intersezione con;VIA BARTOLOMEO PERESTRELLO;VIA BARTOLOMEO PERESTRELLO;;;Veicolo in marcia contro veicolo in sosta;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Ore Diurne;0;0;0;2;;;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1925702;2;01/11/2012 16:15;Altra strada;SOTTOVIA IGNAZIO GUIDI;da specificare;;;;altezza Via Lucania;Scontro laterale fra veicoli in marcia;Galleria illuminata;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Sufficiente;Sufficiente;0;0;0;8;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1925702;2;01/11/2012 16:15;Altra strada;SOTTOVIA IGNAZIO GUIDI;da specificare;;;;altezza Via Lucania;Scontro laterale fra veicoli in marcia;Galleria illuminata;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Sufficiente;Sufficiente;0;0;0;8;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesistente
1925702;2;01/11/2012 16:15;Altra strada;SOTTOVIA IGNAZIO GUIDI;da specificare;;;;altezza Via Lucania;Scontro laterale fra veicoli in marcia;Galleria illuminata;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Sufficiente;Sufficiente;0;0;0;8;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesistente
1925702;2;01/11/2012 16:15;Altra strada;SOTTOVIA IGNAZIO GUIDI;da specificare;;;;altezza Via Lucania;Scontro laterale fra veicoli in marcia;Galleria illuminata;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Sufficiente;Sufficiente;0;0;0;8;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesistente
1925702;2;01/11/2012 16:15;Altra strada;SOTTOVIA IGNAZIO GUIDI;da specificare;;;;altezza Via Lucania;Scontro laterale fra veicoli in marcia;Galleria illuminata;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Sufficiente;Sufficiente;0;0;0;8;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesistente
1925702;2;01/11/2012 16:15;Altra strada;SOTTOVIA IGNAZIO GUIDI;da specificare;;;;altezza Via Lucania;Scontro laterale fra veicoli in marcia;Galleria illuminata;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Sufficiente;Sufficiente;0;0;0;8;;;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1925702;2;01/11/2012 16:15;Altra strada;SOTTOVIA IGNAZIO GUIDI;da specificare;;;;altezza Via Lucania;Scontro laterale fra veicoli in marcia;Galleria illuminata;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Sufficiente;Sufficiente;0;0;0;8;;;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesistente
1925708;9;01/11/2012 02:55;Strada Urbana;CIRCONVALLAZIONE APPIA;all'intersezione con;VIA MARCO TABARRINI;VIA MARCO TABARRINI;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;0;0;0;4;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
1925708;9;01/11/2012 02:55;Strada Urbana;CIRCONVALLAZIONE APPIA;all'intersezione con;VIA MARCO TABARRINI;VIA MARCO TABARRINI;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;0;0;0;4;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesploso
