Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag;
1894529;1;21/11/2011 09:35;Strada Urbana;VIA QUINTINO SELLA;in prossimità;;FRONTE CIV.;66;;Investimento di pedone;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale;Sereno;Normale;Buona;Ore Diurne;2;0;0;0;;;-1;;;;Pedone;M;Rifiuta cure immediate;0;NON DECEDUTO;;;
1894529;1;21/11/2011 09:35;Strada Urbana;VIA QUINTINO SELLA;in prossimità;;FRONTE CIV.;66;;Investimento di pedone;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale;Sereno;Normale;Buona;Ore Diurne;2;0;0;0;;;-1;1;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Rifiuta cure immediate;0;NON DECEDUTO;Non accertato;Inesistente;
1894531;12;23/11/2011 12:20;Provinciale;VIA LAURENTINA;da specificare;;;;rotatoria Trigoria direzione Roma centro;Scontro laterale fra veicoli in marcia;Curva a visuale libera;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;2;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Utilizzato;Inesistente;
1894531;12;23/11/2011 12:20;Provinciale;VIA LAURENTINA;da specificare;;;;rotatoria Trigoria direzione Roma centro;Scontro laterale fra veicoli in marcia;Curva a visuale libera;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;2;;;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Utilizzato;Inesistente;
1894532;2;23/11/2011 14:50;Strada Urbana;VIA SAVERIO MERCADANTE;all'intersezione con;VIA GIACOMO CARISSIMI;VIA GIACOMO CARISSIMI;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;2;0;0;1;;;-1;1;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Utilizzato;Inesistente;
1894532;2;23/11/2011 14:50;Strada Urbana;VIA SAVERIO MERCADANTE;all'intersezione con;VIA GIACOMO CARISSIMI;VIA GIACOMO CARISSIMI;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;2;0;0;1;;;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente;
1894532;2;23/11/2011 14:50;Strada Urbana;VIA SAVERIO MERCADANTE;all'intersezione con;VIA GIACOMO CARISSIMI;VIA GIACOMO CARISSIMI;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;2;0;0;1;;;-1;2;Motociclo a solo;In marcia / fermata / arresto;Passeggero;F;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente;
1894533;1;22/11/2011 01:20;Strada Urbana;VIA AURELIA;in prossimità;;del civico n. ;623;;Veicolo in marcia contro veicolo in sosta;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Sufficiente;0;0;0;2;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente;
1894533;1;22/11/2011 01:20;Strada Urbana;VIA AURELIA;in prossimità;;del civico n. ;623;;Veicolo in marcia contro veicolo in sosta;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Sufficiente;0;0;0;2;;;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente;
1894534;16;01/11/2011 03:20;Strada Urbana;VIA DI BRAVETTA;in corrispondenza;;del civico n. ;774;;Veicolo in marcia contro veicolo in sosta;Rettilineo;Una carreggiata a doppio senso;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Sufficiente;Sufficiente;1;0;0;0;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente;
1894535;16;18/11/2011 15:40;Strada Urbana;VIA DI BRAVETTA;all'intersezione con;VIA DELLA PISANA;VIA DELLA PISANA;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;3;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente;
1894535;16;18/11/2011 15:40;Strada Urbana;VIA DI BRAVETTA;all'intersezione con;VIA DELLA PISANA;VIA DELLA PISANA;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;3;;;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso;
1894535;16;18/11/2011 15:40;Strada Urbana;VIA DI BRAVETTA;all'intersezione con;VIA DELLA PISANA;VIA DELLA PISANA;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;3;;;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesistente;
1894536;1;22/11/2011 08:35;Strada Urbana;VIA DEL TEATRO DI MARCELLO;all'intersezione semaforizzata con;VICO JUGARIO;VICO JUGARIO;;;Infortunio per caduta del veicolo;Intersezione semaforizzata;Una carreggiata a doppio senso;Bagnato (pioggia);In cubetti di porfido;Verticale ed orizzontale;Pioggia in atto;Intenso;Buona;Ore Diurne;1;0;0;1;;;-1;1;Motociclo a solo;In marcia / fermata / arresto;Conducente;F;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente;
1894536;1;22/11/2011 08:35;Strada Urbana;VIA DEL TEATRO DI MARCELLO;all'intersezione semaforizzata con;VICO JUGARIO;VICO JUGARIO;;;Infortunio per caduta del veicolo;Intersezione semaforizzata;Una carreggiata a doppio senso;Bagnato (pioggia);In cubetti di porfido;Verticale ed orizzontale;Pioggia in atto;Intenso;Buona;Ore Diurne;1;0;0;1;;;-1;2;Autovettura pubblica;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente;
1894537;1;22/11/2011 11:20;Strada Urbana;PIAZZA DI PORTA METRONIA;in prossimità;;del civico n. ;2;;Tamponamento;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Intenso;Buona;Ore Diurne;1;0;0;3;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Utilizzato;Inesistente;
1894537;1;22/11/2011 11:20;Strada Urbana;PIAZZA DI PORTA METRONIA;in prossimità;;del civico n. ;2;;Tamponamento;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Intenso;Buona;Ore Diurne;1;0;0;3;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente;
1894537;1;22/11/2011 11:20;Strada Urbana;PIAZZA DI PORTA METRONIA;in prossimità;;del civico n. ;2;;Tamponamento;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Intenso;Buona;Ore Diurne;1;0;0;3;;;-1;2;Autocarro inferiore 35 q.;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Utilizzato;Inesistente;
1894537;1;22/11/2011 11:20;Strada Urbana;PIAZZA DI PORTA METRONIA;in prossimità;;del civico n. ;2;;Tamponamento;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Intenso;Buona;Ore Diurne;1;0;0;3;;;-1;2;Autocarro inferiore 35 q.;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Utilizzato;Inesistente;
1894538;15;23/11/2011 09:20;Strada Urbana;VIA LEONARDO GREPPI;all'intersezione con;VIALE DI VIGNA PIA;VIALE DI VIGNA PIA;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione stradale segnalata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;1;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Utilizzato;Inesistente;
