Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
1863823;19;01/02/2011 03:35;Strada Urbana;VIA VINCENZO VIARA DE RICCI;in prossimità;;del civico n. ;21;;Veicolo in marcia contro veicoli in sosta;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Assente;Sereno;Scarso;Buona;Sufficiente;0;0;0;1;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1863855;1;01/02/2011 07:32;Strada Urbana;VIALE CARLO FELICE;in prossimità;;del civico n. ;45/a;;Investimento di pedone;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;1;;;-1;;;;Pedone;M;Rimandato;0;NON DECEDUTO;;
1863855;1;01/02/2011 07:32;Strada Urbana;VIALE CARLO FELICE;in prossimità;;del civico n. ;45/a;;Investimento di pedone;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;1;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Inesistente
1863863;16;01/02/2011 01:15;Strada Urbana;VIA DEL CASALETTO;in corrispondenza;;del civico n. ;143;;Scontro frontale/laterale SX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale;Sereno;Scarso;Buona;Sufficiente;1;0;0;2;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente
1863863;16;01/02/2011 01:15;Strada Urbana;VIA DEL CASALETTO;in corrispondenza;;del civico n. ;143;;Scontro frontale/laterale SX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale;Sereno;Scarso;Buona;Sufficiente;1;0;0;2;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesistente
1863863;16;01/02/2011 01:15;Strada Urbana;VIA DEL CASALETTO;in corrispondenza;;del civico n. ;143;;Scontro frontale/laterale SX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale;Sereno;Scarso;Buona;Sufficiente;1;0;0;2;;;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1863864;1;01/02/2011 09:40;Strada Urbana;VIALE DELLE TERME DI CARACALLA;all'intersezione semaforizzata con;PIAZZA DI PORTA CAPENA;PIAZZA DI PORTA CAPENA;;;Scontro laterale fra veicoli in marcia;Intersezione stradale segnalata;Più di due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;2;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1863864;1;01/02/2011 09:40;Strada Urbana;VIALE DELLE TERME DI CARACALLA;all'intersezione semaforizzata con;PIAZZA DI PORTA CAPENA;PIAZZA DI PORTA CAPENA;;;Scontro laterale fra veicoli in marcia;Intersezione stradale segnalata;Più di due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;2;;;-1;2;Ciclomotore;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1863872;6;01/02/2011 09:00;Statale entro l'abitato;VIA CASILINA;in prossimità;;del civico n. ;769;;Veicolo in marcia contro veicoli in arresto;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;2;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1863872;6;01/02/2011 09:00;Statale entro l'abitato;VIA CASILINA;in prossimità;;del civico n. ;769;;Veicolo in marcia contro veicoli in arresto;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;2;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesistente
1863872;6;01/02/2011 09:00;Statale entro l'abitato;VIA CASILINA;in prossimità;;del civico n. ;769;;Veicolo in marcia contro veicoli in arresto;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;2;;;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente
1863873;19;01/02/2011 07:20;Strada Urbana;VIA TRIONFALE;all'intersezione con;VIA DI CASAL DEL MARMO;VIA DI CASAL DEL MARMO;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Intenso;Buona;Ore Diurne;0;0;0;2;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1863873;19;01/02/2011 07:20;Strada Urbana;VIA TRIONFALE;all'intersezione con;VIA DI CASAL DEL MARMO;VIA DI CASAL DEL MARMO;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Intenso;Buona;Ore Diurne;0;0;0;2;;;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1863874;19;01/02/2011 12:30;Strada Urbana;VIA DI TORREVECCHIA;all'intersezione con;VIA GIUSEPPE GIROLAMI;VIA GIUSEPPE GIROLAMI;;;Veicolo in marcia contro veicolo in sosta;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1863874;19;01/02/2011 12:30;Strada Urbana;VIA DI TORREVECCHIA;all'intersezione con;VIA GIUSEPPE GIROLAMI;VIA GIUSEPPE GIROLAMI;;;Veicolo in marcia contro veicolo in sosta;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;;;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
1863884;2;01/02/2011 12:20;Strada Urbana;LUNGOTEVERE ARNALDO DA BRESCIA;all'intersezione con;VIA LUISA DI SAVOIA;VIA LUISA DI SAVOIA;;;Infortunio per sola frenata improvvisa;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;1;;;-1;1;Autocarro inferiore 35 q.;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente
