Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
2262418;2;23/06/2015 17:45;Strada Urbana;VIALE DELLA MOSCHEA;da specificare;;;;altezza Viale Parioli civico 208;Scontro laterale fra veicoli in marcia;Curva senza visuale libera;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;3;12.50678;41.92194;-1;1;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
2262418;2;23/06/2015 17:45;Strada Urbana;VIALE DELLA MOSCHEA;da specificare;;;;altezza Viale Parioli civico 208;Scontro laterale fra veicoli in marcia;Curva senza visuale libera;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;3;12.50678;41.92194;-1;2;Quadriciclo leggero;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
2262418;2;23/06/2015 17:45;Strada Urbana;VIALE DELLA MOSCHEA;da specificare;;;;altezza Viale Parioli civico 208;Scontro laterale fra veicoli in marcia;Curva senza visuale libera;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;3;12.50678;41.92194;-1;2;Quadriciclo leggero;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;
2383256;19;08/06/2015 06:30;Strada Urbana;GALLERIA GIOVANNI XXIII;in corrispondenza;;della chilometrica;1.5;;Veicolo in marcia contro ostacolo fisso;Galleria illuminata;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Sufficiente;Insufficiente;0;0;0;1;12.44462;41.94111;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
2383265;19;09/06/2015 13:50;Strada Urbana;VIA LUISA SPAGNOLI;all'intersezione con;VIA VIVI GIOI;VIA VIVI GIOI;;;Scontro laterale fra veicoli in marcia;Intersezione stradale segnalata;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Temporanea di cantiere;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12.40053;41.96193;-1;1;Autocarro superiore 35 q.;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2383265;19;09/06/2015 13:50;Strada Urbana;VIA LUISA SPAGNOLI;all'intersezione con;VIA VIVI GIOI;VIA VIVI GIOI;;;Scontro laterale fra veicoli in marcia;Intersezione stradale segnalata;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Temporanea di cantiere;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12.40053;41.96193;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2389504;11;01/06/2015 00:15;Strada Urbana;VIA LEONE XIII;da specificare;;;;fronte civico 75;Investimento di pedone;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Buona;Sufficiente;0;0;1;3;12.44049;41.88801;-1;;;;Pedone;M;Deceduto durante prime cure;-1;;;
2389504;11;01/06/2015 00:15;Strada Urbana;VIA LEONE XIII;da specificare;;;;fronte civico 75;Investimento di pedone;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Buona;Sufficiente;0;0;1;3;12.44049;41.88801;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2389504;11;01/06/2015 00:15;Strada Urbana;VIA LEONE XIII;da specificare;;;;fronte civico 75;Investimento di pedone;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Buona;Sufficiente;0;0;1;3;12.44049;41.88801;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesploso
2389504;11;01/06/2015 00:15;Strada Urbana;VIA LEONE XIII;da specificare;;;;fronte civico 75;Investimento di pedone;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Buona;Sufficiente;0;0;1;3;12.44049;41.88801;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesploso
