Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitude;Latitude;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag;
4529532;15;01/09/2019 20:30:00;Strada Urbana;VIA GAETANO RAPPINI;in prossimità;;del civico n.;1;;Investimento di pedone;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Assente;Sereno;Scarso;Sufficiente;Sufficiente;1;0;0;3;12.4534;41.8625;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;;
4529532;15;01/09/2019 20:30:00;Strada Urbana;VIA GAETANO RAPPINI;in prossimità;;del civico n.;1;;Investimento di pedone;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Assente;Sereno;Scarso;Sufficiente;Sufficiente;1;0;0;3;12.4534;41.8625;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;;
4529533;10;01/09/2019 18:10:00;Strada Urbana;VIA BERNARDINO ALIMENA;da specificare;;;;rotatoria via Antolisei;Scontro laterale fra veicoli in marcia;Rotatoria;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;5;12.6057;41.847;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Inesploso
4529533;10;01/09/2019 18:10:00;Strada Urbana;VIA BERNARDINO ALIMENA;da specificare;;;;rotatoria via Antolisei;Scontro laterale fra veicoli in marcia;Rotatoria;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;5;12.6057;41.847;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Utilizzato;Inesploso
4529533;10;01/09/2019 18:10:00;Strada Urbana;VIA BERNARDINO ALIMENA;da specificare;;;;rotatoria via Antolisei;Scontro laterale fra veicoli in marcia;Rotatoria;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;5;12.6057;41.847;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Utilizzato;Inesploso
4529533;10;01/09/2019 18:10:00;Strada Urbana;VIA BERNARDINO ALIMENA;da specificare;;;;rotatoria via Antolisei;Scontro laterale fra veicoli in marcia;Rotatoria;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;5;12.6057;41.847;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Utilizzato;Inesploso
4529533;10;01/09/2019 18:10:00;Strada Urbana;VIA BERNARDINO ALIMENA;da specificare;;;;rotatoria via Antolisei;Scontro laterale fra veicoli in marcia;Rotatoria;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;5;12.6057;41.847;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;
4529548;15;01/09/2019 13:40:00;Strada Urbana;VIA PORTUENSE;in corrispondenza;;del civico n.;831;;Veicolo in marcia contro ostacolo fisso;Curva a visuale libera;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Nuvoloso;Scarso;Buona;Ore Diurne;0;1;0;0;12.4125;41.845;-1;1;Motociclo con passeggero;In marcia / fermata / arresto;Conducente;M;Prognosi riservata;0;NON DECEDUTO;Non accertato;
4529568;15;01/09/2019 11:15:00;Strada Urbana;VIA PORTUENSE;da specificare;;;;fronte civico 399;Scontro frontale/laterale SX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;5;12.414;41.8469;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;Inesploso
4529568;15;01/09/2019 11:15:00;Strada Urbana;VIA PORTUENSE;da specificare;;;;fronte civico 399;Scontro frontale/laterale SX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;5;12.414;41.8469;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;;
4529568;15;01/09/2019 11:15:00;Strada Urbana;VIA PORTUENSE;da specificare;;;;fronte civico 399;Scontro frontale/laterale SX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;5;12.414;41.8469;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;;
4529568;15;01/09/2019 11:15:00;Strada Urbana;VIA PORTUENSE;da specificare;;;;fronte civico 399;Scontro frontale/laterale SX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;5;12.414;41.8469;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;;
4529568;15;01/09/2019 11:15:00;Strada Urbana;VIA PORTUENSE;da specificare;;;;fronte civico 399;Scontro frontale/laterale SX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;5;12.414;41.8469;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;;
4529568;15;01/09/2019 11:15:00;Strada Urbana;VIA PORTUENSE;da specificare;;;;fronte civico 399;Scontro frontale/laterale SX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;5;12.414;41.8469;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Ricoverato;0;NON DECEDUTO;;
4529568;15;01/09/2019 11:15:00;Strada Urbana;VIA PORTUENSE;da specificare;;;;fronte civico 399;Scontro frontale/laterale SX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;5;12.414;41.8469;-1;3;Autovettura privata;Sosta;;;;;;;
4529609;6;02/09/2019 01:30:00;Strada Urbana;VIA CASTORE DURANTE;in corrispondenza;;del civico n.;52;;Veicolo in marcia contro veicoli in sosta;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale;Sereno;Scarso;Sufficiente;Ore Diurne;0;0;0;0;12.5722;41.8919;-1;1;Veicolo ignoto perchè FUGA;Allontanatosi;;;;;;;
4529609;6;02/09/2019 01:30:00;Strada Urbana;VIA CASTORE DURANTE;in corrispondenza;;del civico n.;52;;Veicolo in marcia contro veicoli in sosta;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale;Sereno;Scarso;Sufficiente;Ore Diurne;0;0;0;0;12.5722;41.8919;-1;2;Autovettura privata;Sosta;;;;;;;
4529609;6;02/09/2019 01:30:00;Strada Urbana;VIA CASTORE DURANTE;in corrispondenza;;del civico n.;52;;Veicolo in marcia contro veicoli in sosta;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale;Sereno;Scarso;Sufficiente;Ore Diurne;0;0;0;0;12.5722;41.8919;-1;3;Autovettura privata;Sosta;;;;;;;
4529642;11;01/09/2019 00:45:00;Strada Urbana;VIA OSTIENSE;in prossimità;;del civico n.;443;;Veicolo in marcia contro veicoli in sosta;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Assente;Sereno;Normale;Buona;Sufficiente;0;0;0;1;12.476;41.8512;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
4529642;11;01/09/2019 00:45:00;Strada Urbana;VIA OSTIENSE;in prossimità;;del civico n.;443;;Veicolo in marcia contro veicoli in sosta;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Assente;Sereno;Normale;Buona;Sufficiente;0;0;0;1;12.476;41.8512;-1;2;Autovettura privata;Sosta;;;;;;;
